"name","synonym"
"manic street preachers","manic street preachers"
"the everly brothers","the everly brothers"
"basement jaxx","basement jaxx"
"toquinho","toquinho"
"sonic youth","sonic youth"
"natalia kills","natalia kills"
"gucci mane","gucci mane"
"funkadelic","funkadelic"
"reel big fish","reel big fish"
"john lee hooker","john lee hooker"
"noah and the whale","noah and the whale"
"blessthefall","blessthefall"
"tito el bambino","tito el bambino"
"the used","the used"
"arlindo cruz","arlindo cruz"
"ney matogrosso","ney matogrosso"
"kleber lucas","kleber lucas"
"merle haggard","merle haggard"
"james brown","james brown"
"the stooges","the stooges"
"padre marcelo rossi","padre marcelo rossi"
"justice","justice"
"bad religion","bad religion"
"ryan adams","ryan adams"
"whitesnake","whitesnake"
"silva","silva"
"trio parada dura","trio parada dura"
"pet shop boys","pet shop boys"
"trivium","trivium"
"lucenzo","lucenzo"
"ohio players","ohio players"
"donovan","donovan"
"neutral milk hotel","neutral milk hotel"
"kajagoogoo","kajagoogoo"
"nicole scherzinger","nicole scherzinger"
"banda do mar","banda do mar"
"dokken","dokken"
"the stone roses","the stone roses"
"pabllo vittar","pabllo vittar"
"tegan and sara","tegan and sara"
"hooverphonic","hooverphonic"
"l7","l7"
"the flaming lips","the flaming lips"
"siouxsie and the banshees","siouxsie and the banshees"
"gipsy kings","gipsy kings"
"skrillex","skrillex"
"scooter","scooter"
"balthazar","balthazar"
"dadju","dadju"
"nightwish","nightwish"
"rpm","rpm"
"jessica simpson","jessica simpson"
"hilary duff","hilary duff"
"cidade negra","cidade negra"
"the chemical brothers","the chemical brothers"
"chris cornell","chris cornell"
"morcheeba","morcheeba"
"air","air"
"suicidal tendencies","suicidal tendencies"
"milton nascimento","milton nascimento"
"switchfoot","switchfoot"
"the coasters","the coasters"
"slick rick","slick rick"
"ghost","ghost"
"baitaca","baitaca"
"paris hilton","paris hilton"
"omarion","omarion"
"shalamar","shalamar"
"hammerfall","hammerfall"
"rainbow","rainbow"
"patti smith","patti smith"
"snoop dogg","snoop dogg"
"willie nelson","willie nelson"
"newsboys","newsboys"
"sorriso maroto","sorriso maroto"
"a banda mais bonita da cidade","a banda mais bonita da cidade"
"the trammps","the trammps"
"nazareth","nazareth"
"devendra banhart","devendra banhart"
"nofx","nofx"
"tori amos","tori amos"
"black alien","black alien"
"supercombo","supercombo"
"phantogram","phantogram"
"white lion","white lion"
"lloyd banks","lloyd banks"
"roberta campos","roberta campos"
"rita lee","rita lee"
"liam gallagher","liam gallagher"
"tim maia","tim maia"
"type o negative","type o negative"
"coolio","coolio"
"los hermanos","los hermanos"
"jojo","jojo"
"trebol clan","trebol clan"
"peter tosh","peter tosh"
"cassiane","cassiane"
"dope","dope"
"within temptation","within temptation"
"pixie lott","pixie lott"
"tesla","tesla"
"we the kings","we the kings"
"ai","ai"
"vanessa da mata","vanessa da mata"
"the shadows","the shadows"
"taking back sunday","taking back sunday"
"waylon jennings","waylon jennings"
"curtis mayfield","curtis mayfield"
"james vincent mcmorrow","james vincent mcmorrow"
"kirk franklin","kirk franklin"
"lobo","lobo"
"the bravery","the bravery"
"needtobreathe","needtobreathe"
"oar","oar"
"ls jack","ls jack"
"nitty gritty dirt band","nitty gritty dirt band"
"paul mccartney","paul mccartney"
